questionKey,examId,examKind,examTitle,examShortLabel,category,series,questionNumber,sectionTitle,sectionMaterialText,promptRaw,promptDisplay,answerText,answerType,choiceOptionsText,uiMode,questionFormat,hasBlank,hasUnderline,promptMissing,requiresImageReference,imageReferences,questionImage,surfaceMode,sourceFormat,sourceFile,answerKeyFile,parseStatus,parseIssues
phonics-phonics-monster-1-final-test-pdf::Q1,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,1,Choose the correct pairs.,,,,mM,multiple_choice_word,mM | Db | Bc,image_choice,선택형/image_choice/Choose the correct pairs.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,,page_reference,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q2,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,2,Choose the correct pairs.,,,,Ee,multiple_choice_word,Hv | Cq | Ee,image_choice,선택형/image_choice/Choose the correct pairs.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,,page_reference,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q3,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,3,Choose the correct pairs.,,,,Rr,multiple_choice_word,Rr | Sy | Vo,image_choice,선택형/image_choice/Choose the correct pairs.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,,page_reference,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q4,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,4,Choose the correct pairs.,,,,Ff,multiple_choice_word,Xz | Ff | Ji,image_choice,선택형/image_choice/Choose the correct pairs.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,,page_reference,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q5,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,5,Choose the correct pairs.,,,,Qq,multiple_choice_word,Ik | Kw | Qq,image_choice,선택형/image_choice/Choose the correct pairs.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,,page_reference,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q6,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,6,Choose the same beginning letters of the pictures.,,,,n,multiple_choice_word,n | m | j,image_choice,선택형/image_choice/Choose the same beginning letters of the pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q06.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q7,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,7,Choose the same beginning letters of the pictures.,,,,c,multiple_choice_word,k | c | x,image_choice,선택형/image_choice/Choose the same beginning letters of the pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q07.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q8,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,8,Choose the same beginning letters of the pictures.,,,,o,multiple_choice_word,y | x | o,image_choice,선택형/image_choice/Choose the same beginning letters of the pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q08.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q9,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,9,Choose the pictures with the same beginning letters.,,,,3,multiple_choice_numeric,1 | 2 | 3,image_choice,선택형/image_choice/Choose the pictures with the same beginning letters.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q09.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q10,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,10,Choose the pictures with the same beginning letters.,,,,1,multiple_choice_numeric,1 | 2 | 3,image_choice,선택형/image_choice/Choose the pictures with the same beginning letters.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q10.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
